Game,n_obs_used,min_p_twitch_causes_steam,best_lag_twitch_causes_steam,min_p_steam_causes_twitch,best_lag_steam_causes_twitch
Path of Exile,36,0.0151695506036681,1,0.001278423,1
Halo: The Master Chief Collection,23,0.3137973128610706,3,0.0112405541126428,3
Pummel Party,24,0.7079590354295981,3,0.0136372284262057,1
Raft,16,0.009131412,3,0.017468322,3
Garry's Mod,22,0.1704403402444811,2,0.0176044480766009,3
SMITE,36,0.1586894279811168,1,0.021266253,1
Stardew Valley,32,0.7375387294393823,1,0.0238099171628322,2
MapleStory,36,0.3026274303701569,2,0.025389688,1
Tom Clancy's Rainbow Six Siege,36,0.08233006,3,0.0347793847837889,3
Hunt: Showdown,34,0.04628487,3,0.03502549,1
World of Warships,36,6.079810719657549e-05,2,0.036091371,3
Mortal Kombat 11,28,0.6490219134389796,2,0.044805199,1
Rust,36,0.016915654,1,0.196902798474,3
Dead by Daylight,36,0.000116368,1,0.3708357070059973,1
Grand Theft Auto: San Andreas,21,0.0306001142681284,1,0.4174870297357226,2
NBA 2K20,13,0.049224244,3,0.4520277393270155,3
Conan Exiles,15,0.02307481,1,0.4803620254733014,3
