Game,n_obs_used,min_p_twitch_causes_steam,best_lag_twitch_causes_steam,min_p_steam_causes_twitch,best_lag_steam_causes_twitch,n_obs_var,selected_lag,irf_0,irf_1,irf_2,irf_3,irf_4,irf_5,irf_6
Path of Exile,36,0.0151695506036681,1,0.001278423,1,36,3,0.0,0.1491043898338801,0.1064928678018415,0.0270716238967726,0.0633921492795957,0.0418141233707766,-0.0234143373698066
Halo: The Master Chief Collection,23,0.3137973128610706,3,0.0112405541126428,3,23,6,0.0,-0.0403953479341357,-0.0644158942790065,-0.0936894592352778,-0.0866675887875485,-0.0976528760491498,0.0125596237464898
Pummel Party,24,0.7079590354295981,3,0.0136372284262057,1,24,1,0.0,0.0049162711979768,0.0016663298290988,0.0010557061403477,0.0005242153397233,0.0002830966827166,0.0001482991474162
Raft,16,0.009131412,3,0.017468322,3,16,1,0.0,0.344092706823019,0.0706746258236258,-0.0084951063345862,-0.0064712231148158,-0.0007610395783383,0.0002764511153432
Garry's Mod,22,0.1704403402444811,2,0.0176044480766009,3,22,6,0.0,-0.1456265599493306,-0.3102212479105809,-0.1874202197145151,-0.1920403146181926,-0.1738199453791238,-0.122515309105604
SMITE,36,0.1586894279811168,1,0.021266253,1,36,1,0.0,-0.0485581878708091,-0.0330816877844598,-0.0282259079168611,-0.0231048697861272,-0.0190472132071752,-0.0156829444704675
Stardew Valley,32,0.7375387294393823,1,0.0238099171628322,2,32,5,0.0,0.1559023960500164,0.0233563067409795,-0.3299053602121364,-0.4354688157355094,-0.2820062783379737,-0.1173849385050805
MapleStory,36,0.3026274303701569,2,0.025389688,1,36,1,0.0,0.0034195300994854,0.0036333700231563,0.0033010706751669,0.0029130020236124,0.0025550371606475,0.002238183730627
Tom Clancy's Rainbow Six Siege,36,0.08233006,3,0.0347793847837889,3,36,3,0.0,0.11706982503737,-0.0077259709913742,-0.1493536463630578,-0.0694080578082495,-0.0819374471875925,-0.113658614628995
Hunt: Showdown,34,0.04628487,3,0.03502549,1,34,3,0.0,0.0102456566384077,-0.1853748182698609,-0.0057002167812789,0.034321930227934,0.0566751241983319,-0.053265185453033
World of Warships,36,6.079810719657549e-05,2,0.036091371,3,36,5,0.0,0.457050347175775,5.772722166279071,-1.155565647242561,0.3466757267894417,-0.0405121008572597,-0.1245541597032656
Mortal Kombat 11,28,0.6490219134389796,2,0.044805199,1,28,1,0.0,0.0060914861862021,0.0007489384124941,0.0009860242568123,0.0002311390050837,0.0001731201234546,5.520516800330713e-05
Rust,36,0.016915654,1,0.196902798474,3,36,1,0.0,0.0726411469204152,0.0588682676839518,0.0331996658051175,0.0151484388968335,0.0056460018878863,0.001550232846279
Dead by Daylight,36,0.000116368,1,0.3708357070059973,1,36,1,0.0,0.2551965458382914,0.214219032928454,0.1606688034577423,0.1187926348784971,0.0876595815469504,0.064668454478543
Grand Theft Auto: San Andreas,21,0.0306001142681284,1,0.4174870297357226,2,21,6,0.0,0.0128558229695369,0.009182374396345,0.0078803133735455,0.0024781497368382,-0.0042147337045777,-0.0048219472068622
NBA 2K20,13,0.049224244,3,0.4520277393270155,3,13,1,0.0,0.0707477862489763,0.0990972248914931,0.1007036222623774,0.0876854250469345,0.0685855235632958,0.0488433497054586
Conan Exiles,15,0.02307481,1,0.4803620254733014,3,15,1,0.0,0.1487939442192694,-0.0050664269015121,-0.0030833049887968,0.0002158467958267,6.011738964330943e-05,-6.77001973533056e-06
