Game,n_obs_var,selected_lag,irf_0,irf_1,irf_2,irf_3,irf_4,irf_5,irf_6
Dead by Daylight,36,1,0.0,0.2551965458382914,0.21421903292845407,0.16066880345774237,0.1187926348784971,0.08765958154695044,0.06466845447854305
MapleStory,36,1,0.0,0.0034195300994854945,0.0036333700231563175,0.0033010706751669242,0.002913002023612469,0.0025550371606475387,0.002238183730627019
Path of Exile,36,3,0.0,0.14910438983388014,0.10649286780184154,0.027071623896772673,0.06339214927959577,0.04181412337077662,-0.023414337369806693
Rust,36,1,0.0,0.07264114692041529,0.05886826768395187,0.03319966580511753,0.01514843889683358,0.00564600188788639,0.001550232846279083
SMITE,36,1,0.0,-0.048558187870809136,-0.033081687784459864,-0.028225907916861175,-0.023104869786127274,-0.01904721320717525,-0.015682944470467513
Tom Clancy's Rainbow Six Siege,36,3,0.0,0.11706982503737008,-0.007725970991374273,-0.14935364636305784,-0.06940805780824955,-0.08193744718759258,-0.11365861462899504
World of Warships,36,5,0.0,0.45705034717577503,5.772722166279071,-1.155565647242561,0.3466757267894417,-0.04051210085725976,-0.12455415970326567
Hunt: Showdown,34,3,0.0,0.010245656638407739,-0.1853748182698609,-0.005700216781278966,0.03432193022793405,0.056675124198331955,-0.05326518545303306
Stardew Valley,32,5,0.0,0.1559023960500164,0.02335630674097952,-0.3299053602121364,-0.4354688157355094,-0.28200627833797376,-0.11738493850508058
Mortal Kombat 11,28,1,0.0,0.00609148618620215,0.0007489384124941404,0.0009860242568123098,0.00023113900508377818,0.00017312012345461507,5.520516800330713e-05
Pummel Party,24,1,0.0,0.004916271197976812,0.0016663298290988007,0.0010557061403477302,0.0005242153397233373,0.00028309668271666525,0.0001482991474162702
Halo: The Master Chief Collection,23,6,0.0,-0.04039534793413572,-0.06441589427900657,-0.09368945923527784,-0.08666758878754856,-0.09765287604914988,0.012559623746489848
Garry's Mod,22,6,0.0,-0.14562655994933063,-0.3102212479105809,-0.18742021971451514,-0.1920403146181926,-0.17381994537912382,-0.12251530910560404
Grand Theft Auto: San Andreas,21,6,0.0,0.012855822969536926,0.009182374396345028,0.007880313373545573,0.0024781497368382872,-0.004214733704577783,-0.0048219472068622565
Raft,16,1,0.0,0.344092706823019,0.07067462582362583,-0.008495106334586269,-0.006471223114815807,-0.0007610395783383443,0.0002764511153432975
Conan Exiles,15,1,0.0,0.14879394421926945,-0.005066426901512192,-0.0030833049887968047,0.000215846795826737,6.011738964330943e-05,-6.77001973533056e-06
NBA 2K20,13,1,0.0,0.07074778624897635,0.09909722489149318,0.10070362226237746,0.08768542504693458,0.06858552356329582,0.048843349705458665
