year,Month,Hours_watched,Avg_viewers,Peak_viewers,Streams,Avg_channels,Games_streamed,Viewer_ratio
2019,1,949050474,1277322,2278352,17042119,55853,19995,24.38
2019,2,881506851,1313721,2624711,15578420,56375,19573,24.59
2019,3,947733580,1275549,2630058,16718941,55019,20457,24.85
2019,4,888326199,1235502,2368981,15708616,51328,20536,25.57
2019,5,939520272,1264495,2607531,15520889,48357,20751,26.88
2019,6,939126720,1306156,3496976,14499225,47953,20209,27.18
2019,7,916692478,1233771,2933491,14790881,48111,20106,25.71
2019,8,999177398,1344787,2563475,14678509,48508,20421,28.26
2019,9,878083331,1221256,2817054,13284517,46242,19869,26.35
2019,10,900334210,1211755,2993052,13220814,45185,19904,27.03
2019,11,879157590,1222750,2906707,12939422,45655,20248,27.08
2019,12,881497670,1186403,2692333,13781104,45688,20515,26.2
2020,1,1010010231,1359367,2400513,15053038,52875,21249,25.98
2020,2,981752149,1412593,2630587,13455714,53882,20748,26.59
2020,3,1218370086,1639798,3402641,17302441,66090,22872,25.26
2020,4,1792309113,2492780,4455065,17814917,93867,24646,26.79
2020,5,1755760388,2363069,4043730,20203413,100486,25396,23.77
2020,6,1629282927,2266040,6060464,18160561,94052,24780,24.22
2020,7,1572595815,2116548,3965956,18859473,95781,25485,22.65
2020,8,1620682345,2181268,3861619,19146406,96421,25714,23.22
2020,9,1585511181,2205161,4816995,18150678,91978,29190,24.73
2020,10,1774145250,2387813,4208725,19774827,95170,31922,25.99
2020,11,1789235196,2488505,4380326,20176665,103929,32479,24.45
2020,12,1877319317,2526674,4860624,22089295,107006,32840,24.61
2021,1,2173794168,2925698,6516666,25614207,119448,34551,25.03
2021,2,1979581961,2950196,5274617,24319608,122763,34594,24.67
2021,3,2181654070,2936277,5270336,26207129,117123,35759,25.79
2021,4,2238018281,3112681,6291115,24406256,115812,36196,27.58
2021,5,2308295297,3106723,5835026,22761038,110484,36960,28.69
2021,6,1963630266,2731057,5775498,20285356,101892,36099,27.38
2021,7,1953900874,2629745,4415373,21055358,101755,36319,26.27
2021,8,1974586275,2657585,4778502,20767741,100701,36471,26.7
2021,9,1857514531,2583469,5630216,18826493,95513,35861,27.29
2021,10,2020197953,2718974,6170643,18209793,91858,36406,30.39
2021,11,1812117484,2520330,5969595,17415525,90774,35043,27.99
2021,12,1872400661,2520054,5014457,17824022,90731,35577,28.04
