Game,n_obs_used,min_p_twitch_causes_steam,best_lag_twitch_causes_steam,min_p_steam_causes_twitch,best_lag_steam_causes_twitch
Path of Exile,36,0.015169550603668125,1,0.001278423,1
Halo: The Master Chief Collection,23,0.31379731286107065,3,0.011240554112642846,3
Pummel Party,24,0.7079590354295981,3,0.013637228426205798,1
Raft,16,0.009131412,3,0.017468322,3
Garry's Mod,22,0.17044034024448115,2,0.017604448076600963,3
SMITE,36,0.1586894279811168,1,0.021266253,1
Stardew Valley,32,0.7375387294393823,1,0.023809917162832244,2
MapleStory,36,0.3026274303701569,2,0.025389688,1
Tom Clancy's Rainbow Six Siege,36,0.08233006,3,0.034779384783788996,3
Hunt: Showdown,34,0.04628487,3,0.03502549,1
World of Warships,36,6.079810719657549e-05,2,0.036091371,3
Mortal Kombat 11,28,0.6490219134389796,2,0.044805199,1
Apex Legends,14,0.055332526,1,0.058496821,3
Farming Simulator 19,31,0.08784584,2,0.077205265,1
7 Days to Die,36,0.4852501024576338,2,0.079152079,2
Arma 3,18,0.7565239447985441,2,0.082968403,3
RimWorld,36,0.4346511226291415,1,0.092988992,2
They Are Billions,17,0.16181200030206405,1,0.094672997,1
Euro Truck Simulator 2,36,0.15383545194519413,1,0.097821626,1
Slay the Spire,32,0.385987613,1,0.11370225593619569,3
Rocket League,36,0.2351474441515325,2,0.11773736318494268,1
Hollow Knight,30,0.2124985335632112,2,0.12072593173108973,1
Among Us,18,0.21992674946436877,3,0.13284029729411823,2
Grand Theft Auto V,36,0.3380052745817786,2,0.1542335718818881,1
Yu-Gi-Oh! Duel Links,36,0.3520361778312001,1,0.15607505634664576,1
FINAL FANTASY XIV Online,28,0.5727278779967133,3,0.17598052660961155,1
Rust,36,0.016915654,1,0.19690279847400005,3
Don't Starve Together,34,0.8351001086225358,3,0.2137334289162997,1
The Elder Scrolls Online,36,0.3010131480433937,3,0.25150223850041953,1
The Forest,31,0.11280498753750849,1,0.2641155752476136,1
Counter-Strike: Global Offensive,36,0.20073343740087796,3,0.266434571,3
NBA 2K21,13,0.3267854846559701,1,0.2840077460535453,1
Detroit: Become Human,14,0.3570492678515699,1,0.2854857232546864,2
Red Dead Redemption 2,25,0.11461727122239218,2,0.28938540115216166,3
The Witcher 3: Wild Hunt,31,0.7023327674497044,1,0.29293986020100493,1
Destiny 2,27,0.6802893646190252,3,0.29851145011446995,1
Hades,14,0.2363169895914591,1,0.31674293223686917,2
Brawlhalla,20,0.38267359517602245,3,0.3389566502614671,3
Albion Online,23,0.47381230532875285,3,0.35113927889878815,1
Beat Saber,17,0.5948468285356642,2,0.35116345920011705,3
Dead by Daylight,36,0.000116368,1,0.37083570700599733,1
F1 2020,12,0.22200780537001058,3,0.37784289622189643,3
VRChat,36,0.21173622336489778,1,0.37844527263869987,2
Europa Universalis IV,16,0.5166783012162525,2,0.38114750647555723,2
Knight Online,30,0.5181010137367265,3,0.3969971725298195,1
Street Fighter V,36,0.38282241565270236,1,0.40067904250217956,1
Grand Theft Auto: San Andreas,21,0.030600114268128444,1,0.4174870297357226,2
War Thunder,18,0.6671933233949605,3,0.42852892994991987,1
Warframe,36,0.5993120586419592,3,0.44419494006534377,1
DayZ,36,0.4340686960833121,1,0.44620380054036235,2
NBA 2K20,13,0.049224244,3,0.4520277393270155,3
Sid Meier's Civilization VI,18,0.6169569030474635,2,0.46177498540155215,3
Conan Exiles,15,0.02307481,1,0.4803620254733014,3
Subnautica,22,0.22504434077250537,2,0.49596513,1
The Elder Scrolls V: Skyrim,35,0.22467470938846382,1,0.49730408649202174,1
Resident Evil 2,22,0.22105531109601523,1,0.5474805185530695,1
Paladins,36,0.4959156277349105,1,0.5757052838686483,3
Sea of Thieves,19,0.623622955,1,0.5795787343603342,1
Dota 2,36,0.42996586976019885,2,0.5948173529148136,3
For Honor,16,0.14389211331044016,1,0.631359248,1
ARK: Survival Evolved,28,0.4246427270302843,1,0.6679305870761768,1
Conqueror's Blade,18,0.2501539987291712,1,0.6752942035980529,2
Phasmophobia,15,0.053454067,1,0.705616077,3
Hearts of Iron IV,17,0.18025273683687765,1,0.7637757424705759,3
Monster Hunter: World,31,0.7849715155157444,2,0.8612617966003077,1
Terraria,30,0.7964235286260943,1,0.9322947972684303,1
